gen_model,dataset,lang,theme,n,mqs_mean
aya_expanse,non_expert,hi,Risk & Complication Management,60,0.1011
aya_expanse,non_expert,hi,Symptom Interpretation & Danger Sign Recognition,60,0.5133
aya_expanse,non_expert,mr,Antenatal & Maternal Health Care,120,0.2321
aya_expanse,non_expert,mr,Clinical Procedures & Guidelines,30,0.1617
aya_expanse,non_expert,mr,"Health Systems, Access & Provider Support",60,0.2889
aya_expanse,non_expert,mr,Infection Prevention & Hygiene Practices,120,0.3515
aya_expanse,non_expert,mr,Medication & Vaccination Safety,30,0.2883
aya_expanse,non_expert,mr,"Mental, Emotional & Social Well-being",48,0.366
aya_expanse,non_expert,mr,"Nutrition, Diet & Supplementation",120,0.566
aya_expanse,non_expert,mr,Reproductive & Sexual Health (Beyond Pregnancy),45,0.3359
aya_expanse,non_expert,mr,Risk & Complication Management,60,0.0889
aya_expanse,non_expert,mr,Symptom Interpretation & Danger Sign Recognition,60,0.4503
claude_haiku_4_5,expert,en,Antenatal & Maternal Health Care,327,0.2978
claude_haiku_4_5,expert,en,Clinical Procedures & Guidelines,12,0.2042
claude_haiku_4_5,expert,en,Infection Prevention & Hygiene Practices,6,0.4972
claude_haiku_4_5,expert,en,Medication & Vaccination Safety,15,0.36
claude_haiku_4_5,expert,en,Reproductive & Sexual Health (Beyond Pregnancy),6,0.2861
claude_haiku_4_5,expert,en,Risk & Complication Management,6,0.4
claude_haiku_4_5,expert,en,Symptom Interpretation & Danger Sign Recognition,6,0.5111
claude_haiku_4_5,expert,hi,Antenatal & Maternal Health Care,228,0.3399
claude_haiku_4_5,expert,hi,Clinical Procedures & Guidelines,8,0.1354
claude_haiku_4_5,expert,hi,Infection Prevention & Hygiene Practices,4,0.5042
claude_haiku_4_5,expert,hi,Medication & Vaccination Safety,10,0.36
claude_haiku_4_5,expert,hi,Reproductive & Sexual Health (Beyond Pregnancy),4,0.2167
claude_haiku_4_5,expert,hi,Risk & Complication Management,4,0.3625
claude_haiku_4_5,expert,hi,Symptom Interpretation & Danger Sign Recognition,4,0.5
claude_haiku_4_5,expert,mr,Antenatal & Maternal Health Care,228,0.3512
claude_haiku_4_5,expert,mr,Clinical Procedures & Guidelines,8,0.1062
claude_haiku_4_5,expert,mr,Infection Prevention & Hygiene Practices,4,0.4417
claude_haiku_4_5,expert,mr,Medication & Vaccination Safety,10,0.29
claude_haiku_4_5,expert,mr,Reproductive & Sexual Health (Beyond Pregnancy),4,0.2792
claude_haiku_4_5,expert,mr,Risk & Complication Management,4,0.2292
claude_haiku_4_5,expert,mr,Symptom Interpretation & Danger Sign Recognition,4,0.575
claude_haiku_4_5,non_expert,en,Antenatal & Maternal Health Care,86,0.3275
claude_haiku_4_5,non_expert,en,Clinical Procedures & Guidelines,30,0.2372
claude_haiku_4_5,non_expert,en,"Health Systems, Access & Provider Support",40,0.3933
claude_haiku_4_5,non_expert,en,Infection Prevention & Hygiene Practices,117,0.3123
claude_haiku_4_5,non_expert,en,Medication & Vaccination Safety,20,0.3658
claude_haiku_4_5,non_expert,en,"Mental, Emotional & Social Well-being",32,0.5094
claude_haiku_4_5,non_expert,en,"Nutrition, Diet & Supplementation",120,0.6763
claude_haiku_4_5,non_expert,en,Reproductive & Sexual Health (Beyond Pregnancy),30,0.4161
claude_haiku_4_5,non_expert,en,Risk & Complication Management,45,0.2107
claude_haiku_4_5,non_expert,en,Symptom Interpretation & Danger Sign Recognition,60,0.5122
claude_haiku_4_5,non_expert,hi,Antenatal & Maternal Health Care,117,0.351
claude_haiku_4_5,non_expert,hi,Clinical Procedures & Guidelines,30,0.1933
claude_haiku_4_5,non_expert,hi,"Health Systems, Access & Provider Support",40,0.4162
claude_haiku_4_5,non_expert,hi,Infection Prevention & Hygiene Practices,90,0.4426
claude_haiku_4_5,non_expert,hi,Medication & Vaccination Safety,20,0.4133
claude_haiku_4_5,non_expert,hi,"Mental, Emotional & Social Well-being",32,0.4349
claude_haiku_4_5,non_expert,hi,"Nutrition, Diet & Supplementation",120,0.6433
claude_haiku_4_5,non_expert,hi,Reproductive & Sexual Health (Beyond Pregnancy),30,0.3694
claude_haiku_4_5,non_expert,hi,Risk & Complication Management,40,0.09
claude_haiku_4_5,non_expert,hi,Symptom Interpretation & Danger Sign Recognition,60,0.5678
claude_haiku_4_5,non_expert,mr,Antenatal & Maternal Health Care,120,0.3489
claude_haiku_4_5,non_expert,mr,Clinical Procedures & Guidelines,30,0.2211
claude_haiku_4_5,non_expert,mr,"Health Systems, Access & Provider Support",60,0.3717
claude_haiku_4_5,non_expert,mr,Infection Prevention & Hygiene Practices,120,0.4031
claude_haiku_4_5,non_expert,mr,Medication & Vaccination Safety,30,0.2867
claude_haiku_4_5,non_expert,mr,"Mental, Emotional & Social Well-being",48,0.4181
claude_haiku_4_5,non_expert,mr,"Nutrition, Diet & Supplementation",120,0.6524
claude_haiku_4_5,non_expert,mr,Reproductive & Sexual Health (Beyond Pregnancy),45,0.4026
claude_haiku_4_5,non_expert,mr,Risk & Complication Management,60,0.0933
claude_haiku_4_5,non_expert,mr,Symptom Interpretation & Danger Sign Recognition,60,0.5264
claude_opus_4_7,expert,en,Antenatal & Maternal Health Care,327,0.3016
claude_opus_4_7,expert,en,Clinical Procedures & Guidelines,12,0.05
claude_opus_4_7,expert,en,"Health Systems, Access & Provider Support",6,0.4333
claude_opus_4_7,expert,en,Infection Prevention & Hygiene Practices,6,0.525
claude_opus_4_7,expert,en,Medication & Vaccination Safety,15,0.2356
claude_opus_4_7,expert,en,"Mental, Emotional & Social Well-being",9,0.5796
claude_opus_4_7,expert,en,"Nutrition, Diet & Supplementation",54,0.5367
claude_opus_4_7,expert,en,Reproductive & Sexual Health (Beyond Pregnancy),6,0.2222
claude_opus_4_7,expert,en,Risk & Complication Management,6,0.4778
claude_opus_4_7,expert,en,Symptom Interpretation & Danger Sign Recognition,6,0.35
claude_opus_4_7,expert,hi,Antenatal & Maternal Health Care,327,0.3678
claude_opus_4_7,expert,hi,Clinical Procedures & Guidelines,12,0.1014
claude_opus_4_7,expert,hi,"Health Systems, Access & Provider Support",6,0.425
claude_opus_4_7,expert,hi,Infection Prevention & Hygiene Practices,6,0.5278
claude_opus_4_7,expert,hi,Medication & Vaccination Safety,15,0.2711
claude_opus_4_7,expert,hi,"Mental, Emotional & Social Well-being",9,0.5204
claude_opus_4_7,expert,hi,"Nutrition, Diet & Supplementation",54,0.5873
claude_opus_4_7,expert,hi,Reproductive & Sexual Health (Beyond Pregnancy),6,0.2083
claude_opus_4_7,expert,hi,Risk & Complication Management,6,0.1778
claude_opus_4_7,expert,hi,Symptom Interpretation & Danger Sign Recognition,6,0.4944
claude_opus_4_7,expert,mr,Antenatal & Maternal Health Care,327,0.4103
claude_opus_4_7,expert,mr,Clinical Procedures & Guidelines,12,0.2056
claude_opus_4_7,expert,mr,"Health Systems, Access & Provider Support",6,0.5556
claude_opus_4_7,expert,mr,Infection Prevention & Hygiene Practices,6,0.5889
claude_opus_4_7,expert,mr,Medication & Vaccination Safety,15,0.21
claude_opus_4_7,expert,mr,"Mental, Emotional & Social Well-being",9,0.8944
claude_opus_4_7,expert,mr,"Nutrition, Diet & Supplementation",54,0.6123
claude_opus_4_7,expert,mr,Reproductive & Sexual Health (Beyond Pregnancy),6,0.2944
claude_opus_4_7,expert,mr,Risk & Complication Management,6,0.1778
claude_opus_4_7,expert,mr,Symptom Interpretation & Danger Sign Recognition,6,0.575
claude_opus_4_7,non_expert,en,Antenatal & Maternal Health Care,120,0.41
claude_opus_4_7,non_expert,en,Clinical Procedures & Guidelines,30,0.1622
claude_opus_4_7,non_expert,en,"Health Systems, Access & Provider Support",60,0.52
claude_opus_4_7,non_expert,en,Infection Prevention & Hygiene Practices,120,0.3918
claude_opus_4_7,non_expert,en,Medication & Vaccination Safety,30,0.44
claude_opus_4_7,non_expert,en,"Mental, Emotional & Social Well-being",48,0.5674
claude_opus_4_7,non_expert,en,"Nutrition, Diet & Supplementation",120,0.6906
claude_opus_4_7,non_expert,en,Reproductive & Sexual Health (Beyond Pregnancy),45,0.4844
claude_opus_4_7,non_expert,en,Risk & Complication Management,60,0.1606
claude_opus_4_7,non_expert,en,Symptom Interpretation & Danger Sign Recognition,60,0.5328
claude_opus_4_7,non_expert,hi,Antenatal & Maternal Health Care,120,0.4544
claude_opus_4_7,non_expert,hi,Clinical Procedures & Guidelines,30,0.1589
claude_opus_4_7,non_expert,hi,"Health Systems, Access & Provider Support",60,0.4789
claude_opus_4_7,non_expert,hi,Infection Prevention & Hygiene Practices,120,0.4933
claude_opus_4_7,non_expert,hi,Medication & Vaccination Safety,30,0.41
claude_opus_4_7,non_expert,hi,"Mental, Emotional & Social Well-being",48,0.5389
claude_opus_4_7,non_expert,hi,"Nutrition, Diet & Supplementation",120,0.7029
claude_opus_4_7,non_expert,hi,Reproductive & Sexual Health (Beyond Pregnancy),45,0.5063
claude_opus_4_7,non_expert,hi,Risk & Complication Management,60,0.1433
claude_opus_4_7,non_expert,hi,Symptom Interpretation & Danger Sign Recognition,60,0.6617
claude_opus_4_7,non_expert,mr,Antenatal & Maternal Health Care,120,0.4417
claude_opus_4_7,non_expert,mr,Clinical Procedures & Guidelines,30,0.2406
claude_opus_4_7,non_expert,mr,"Health Systems, Access & Provider Support",60,0.4467
claude_opus_4_7,non_expert,mr,Infection Prevention & Hygiene Practices,120,0.4476
claude_opus_4_7,non_expert,mr,Medication & Vaccination Safety,30,0.3211
claude_opus_4_7,non_expert,mr,"Mental, Emotional & Social Well-being",48,0.4587
claude_opus_4_7,non_expert,mr,"Nutrition, Diet & Supplementation",120,0.7099
claude_opus_4_7,non_expert,mr,Reproductive & Sexual Health (Beyond Pregnancy),45,0.5111
claude_opus_4_7,non_expert,mr,Risk & Complication Management,60,0.07
claude_opus_4_7,non_expert,mr,Symptom Interpretation & Danger Sign Recognition,60,0.6078
cohere_command_a,expert,en,Antenatal & Maternal Health Care,327,0.254
cohere_command_a,expert,en,Clinical Procedures & Guidelines,12,0.1444
cohere_command_a,expert,en,Infection Prevention & Hygiene Practices,6,0.3694
cohere_command_a,expert,en,Medication & Vaccination Safety,15,0.2789
cohere_command_a,expert,en,Reproductive & Sexual Health (Beyond Pregnancy),6,0.2556
cohere_command_a,expert,en,Risk & Complication Management,6,0.2944
cohere_command_a,expert,en,Symptom Interpretation & Danger Sign Recognition,6,0.3667
cohere_command_a,expert,hi,Antenatal & Maternal Health Care,327,0.3042
cohere_command_a,expert,hi,Clinical Procedures & Guidelines,12,0.1389
cohere_command_a,expert,hi,Infection Prevention & Hygiene Practices,6,0.4306
cohere_command_a,expert,hi,Medication & Vaccination Safety,15,0.2922
cohere_command_a,expert,hi,Reproductive & Sexual Health (Beyond Pregnancy),6,0.2444
cohere_command_a,expert,hi,Risk & Complication Management,6,0.2667
cohere_command_a,expert,hi,Symptom Interpretation & Danger Sign Recognition,6,0.5056
cohere_command_a,expert,mr,Antenatal & Maternal Health Care,327,0.2862
cohere_command_a,expert,mr,Clinical Procedures & Guidelines,12,0.1472
cohere_command_a,expert,mr,Infection Prevention & Hygiene Practices,6,0.4361
cohere_command_a,expert,mr,Medication & Vaccination Safety,15,0.2622
cohere_command_a,expert,mr,Reproductive & Sexual Health (Beyond Pregnancy),6,0.2694
cohere_command_a,expert,mr,Risk & Complication Management,6,0.1361
cohere_command_a,expert,mr,Symptom Interpretation & Danger Sign Recognition,6,0.3667
cohere_command_a,non_expert,en,Antenatal & Maternal Health Care,120,0.2664
cohere_command_a,non_expert,en,Clinical Procedures & Guidelines,30,0.2183
cohere_command_a,non_expert,en,"Health Systems, Access & Provider Support",60,0.3589
cohere_command_a,non_expert,en,Infection Prevention & Hygiene Practices,120,0.3458
cohere_command_a,non_expert,en,Medication & Vaccination Safety,30,0.3761
cohere_command_a,non_expert,en,"Mental, Emotional & Social Well-being",48,0.4986
cohere_command_a,non_expert,en,"Nutrition, Diet & Supplementation",120,0.6476
cohere_command_a,non_expert,en,Reproductive & Sexual Health (Beyond Pregnancy),45,0.3652
cohere_command_a,non_expert,en,Risk & Complication Management,60,0.1953
cohere_command_a,non_expert,en,Symptom Interpretation & Danger Sign Recognition,60,0.4944
cohere_command_a,non_expert,hi,Antenatal & Maternal Health Care,120,0.2778
cohere_command_a,non_expert,hi,Clinical Procedures & Guidelines,30,0.1767
cohere_command_a,non_expert,hi,"Health Systems, Access & Provider Support",60,0.3664
cohere_command_a,non_expert,hi,Infection Prevention & Hygiene Practices,120,0.3896
cohere_command_a,non_expert,hi,Medication & Vaccination Safety,30,0.3244
cohere_command_a,non_expert,hi,"Mental, Emotional & Social Well-being",48,0.3958
cohere_command_a,non_expert,hi,"Nutrition, Diet & Supplementation",120,0.6092
cohere_command_a,non_expert,hi,Reproductive & Sexual Health (Beyond Pregnancy),45,0.3452
cohere_command_a,non_expert,hi,Risk & Complication Management,60,0.0767
cohere_command_a,non_expert,hi,Symptom Interpretation & Danger Sign Recognition,60,0.5744
cohere_command_a,non_expert,mr,Antenatal & Maternal Health Care,120,0.2568
cohere_command_a,non_expert,mr,Clinical Procedures & Guidelines,30,0.1478
cohere_command_a,non_expert,mr,"Health Systems, Access & Provider Support",60,0.3033
cohere_command_a,non_expert,mr,Infection Prevention & Hygiene Practices,120,0.3451
cohere_command_a,non_expert,mr,Medication & Vaccination Safety,30,0.2839
cohere_command_a,non_expert,mr,"Mental, Emotional & Social Well-being",48,0.3684
cohere_command_a,non_expert,mr,"Nutrition, Diet & Supplementation",120,0.6236
cohere_command_a,non_expert,mr,Reproductive & Sexual Health (Beyond Pregnancy),45,0.3526
cohere_command_a,non_expert,mr,Risk & Complication Management,60,0.0817
cohere_command_a,non_expert,mr,Symptom Interpretation & Danger Sign Recognition,60,0.4464
gemini_3_flash,expert,en,Antenatal & Maternal Health Care,327,0.264
gemini_3_flash,expert,en,Clinical Procedures & Guidelines,12,0.1292
gemini_3_flash,expert,en,Infection Prevention & Hygiene Practices,6,0.4611
gemini_3_flash,expert,en,Medication & Vaccination Safety,15,0.2867
gemini_3_flash,expert,en,Reproductive & Sexual Health (Beyond Pregnancy),6,0.2167
gemini_3_flash,expert,en,Risk & Complication Management,6,0.3333
gemini_3_flash,expert,en,Symptom Interpretation & Danger Sign Recognition,6,0.4056
gemini_3_flash,expert,hi,Antenatal & Maternal Health Care,327,0.3085
gemini_3_flash,expert,hi,Clinical Procedures & Guidelines,12,0.1333
gemini_3_flash,expert,hi,Infection Prevention & Hygiene Practices,6,0.3889
gemini_3_flash,expert,hi,Medication & Vaccination Safety,15,0.3278
gemini_3_flash,expert,hi,Reproductive & Sexual Health (Beyond Pregnancy),6,0.2444
gemini_3_flash,expert,hi,Risk & Complication Management,6,0.2167
gemini_3_flash,expert,hi,Symptom Interpretation & Danger Sign Recognition,6,0.5889
gemini_3_flash,expert,mr,Antenatal & Maternal Health Care,327,0.3248
gemini_3_flash,expert,mr,Clinical Procedures & Guidelines,12,0.2139
gemini_3_flash,expert,mr,Infection Prevention & Hygiene Practices,6,0.4361
gemini_3_flash,expert,mr,Medication & Vaccination Safety,15,0.3311
gemini_3_flash,expert,mr,Reproductive & Sexual Health (Beyond Pregnancy),6,0.2639
gemini_3_flash,expert,mr,Risk & Complication Management,6,0.0806
gemini_3_flash,expert,mr,Symptom Interpretation & Danger Sign Recognition,6,0.4778
gemini_3_flash,non_expert,en,Antenatal & Maternal Health Care,120,0.2789
gemini_3_flash,non_expert,en,Clinical Procedures & Guidelines,30,0.1778
gemini_3_flash,non_expert,en,"Health Systems, Access & Provider Support",60,0.3444
gemini_3_flash,non_expert,en,Infection Prevention & Hygiene Practices,120,0.3496
gemini_3_flash,non_expert,en,Medication & Vaccination Safety,30,0.3894
gemini_3_flash,non_expert,en,"Mental, Emotional & Social Well-being",48,0.5115
gemini_3_flash,non_expert,en,"Nutrition, Diet & Supplementation",120,0.6421
gemini_3_flash,non_expert,en,Reproductive & Sexual Health (Beyond Pregnancy),45,0.3611
gemini_3_flash,non_expert,en,Risk & Complication Management,60,0.2142
gemini_3_flash,non_expert,en,Symptom Interpretation & Danger Sign Recognition,60,0.5147
gemini_3_flash,non_expert,hi,Antenatal & Maternal Health Care,120,0.3008
gemini_3_flash,non_expert,hi,Clinical Procedures & Guidelines,30,0.1211
gemini_3_flash,non_expert,hi,"Health Systems, Access & Provider Support",60,0.3628
gemini_3_flash,non_expert,hi,Infection Prevention & Hygiene Practices,120,0.4131
gemini_3_flash,non_expert,hi,Medication & Vaccination Safety,30,0.4289
gemini_3_flash,non_expert,hi,"Mental, Emotional & Social Well-being",48,0.4844
gemini_3_flash,non_expert,hi,"Nutrition, Diet & Supplementation",120,0.6453
gemini_3_flash,non_expert,hi,Reproductive & Sexual Health (Beyond Pregnancy),45,0.3959
gemini_3_flash,non_expert,hi,Risk & Complication Management,60,0.1053
gemini_3_flash,non_expert,hi,Symptom Interpretation & Danger Sign Recognition,60,0.5653
gemini_3_flash,non_expert,mr,Antenatal & Maternal Health Care,120,0.3312
gemini_3_flash,non_expert,mr,Clinical Procedures & Guidelines,30,0.2044
gemini_3_flash,non_expert,mr,"Health Systems, Access & Provider Support",60,0.3492
gemini_3_flash,non_expert,mr,Infection Prevention & Hygiene Practices,120,0.3999
gemini_3_flash,non_expert,mr,Medication & Vaccination Safety,30,0.3511
gemini_3_flash,non_expert,mr,"Mental, Emotional & Social Well-being",48,0.4767
gemini_3_flash,non_expert,mr,"Nutrition, Diet & Supplementation",120,0.6804
gemini_3_flash,non_expert,mr,Reproductive & Sexual Health (Beyond Pregnancy),45,0.3856
gemini_3_flash,non_expert,mr,Risk & Complication Management,60,0.0297
gemini_3_flash,non_expert,mr,Symptom Interpretation & Danger Sign Recognition,60,0.5119
gemini_3_pro,expert,en,Antenatal & Maternal Health Care,327,0.2543
gemini_3_pro,expert,en,Clinical Procedures & Guidelines,12,0.1792
gemini_3_pro,expert,en,Infection Prevention & Hygiene Practices,6,0.3306
gemini_3_pro,expert,en,Medication & Vaccination Safety,15,0.28
gemini_3_pro,expert,en,Reproductive & Sexual Health (Beyond Pregnancy),6,0.1944
gemini_3_pro,expert,en,Risk & Complication Management,6,0.2722
gemini_3_pro,expert,en,Symptom Interpretation & Danger Sign Recognition,6,0.3667
gemini_3_pro,expert,hi,Antenatal & Maternal Health Care,313,0.2988
gemini_3_pro,expert,hi,Clinical Procedures & Guidelines,12,0.1153
gemini_3_pro,expert,hi,Infection Prevention & Hygiene Practices,6,0.4056
gemini_3_pro,expert,hi,Medication & Vaccination Safety,15,0.29
gemini_3_pro,expert,hi,Reproductive & Sexual Health (Beyond Pregnancy),6,0.2528
gemini_3_pro,expert,hi,Risk & Complication Management,6,0.2889
gemini_3_pro,expert,hi,Symptom Interpretation & Danger Sign Recognition,6,0.4389
gemini_3_pro,expert,mr,Antenatal & Maternal Health Care,313,0.2932
gemini_3_pro,expert,mr,Clinical Procedures & Guidelines,12,0.2
gemini_3_pro,expert,mr,Infection Prevention & Hygiene Practices,6,0.4361
gemini_3_pro,expert,mr,Medication & Vaccination Safety,15,0.2722
gemini_3_pro,expert,mr,Reproductive & Sexual Health (Beyond Pregnancy),6,0.1944
gemini_3_pro,expert,mr,Risk & Complication Management,6,0.1
gemini_3_pro,expert,mr,Symptom Interpretation & Danger Sign Recognition,6,0.4056
gemini_3_pro,non_expert,en,Antenatal & Maternal Health Care,110,0.2774
gemini_3_pro,non_expert,en,Clinical Procedures & Guidelines,30,0.2311
gemini_3_pro,non_expert,en,"Health Systems, Access & Provider Support",60,0.3733
gemini_3_pro,non_expert,en,Infection Prevention & Hygiene Practices,120,0.3394
gemini_3_pro,non_expert,en,Medication & Vaccination Safety,30,0.3556
gemini_3_pro,non_expert,en,"Mental, Emotional & Social Well-being",44,0.4761
gemini_3_pro,non_expert,en,"Nutrition, Diet & Supplementation",120,0.6258
gemini_3_pro,non_expert,en,Reproductive & Sexual Health (Beyond Pregnancy),45,0.3496
gemini_3_pro,non_expert,en,Risk & Complication Management,60,0.1911
gemini_3_pro,non_expert,en,Symptom Interpretation & Danger Sign Recognition,60,0.4719
gemini_3_pro,non_expert,hi,Antenatal & Maternal Health Care,108,0.2685
gemini_3_pro,non_expert,hi,Clinical Procedures & Guidelines,30,0.1383
gemini_3_pro,non_expert,hi,"Health Systems, Access & Provider Support",60,0.3758
gemini_3_pro,non_expert,hi,Infection Prevention & Hygiene Practices,120,0.3864
gemini_3_pro,non_expert,hi,Medication & Vaccination Safety,30,0.3267
gemini_3_pro,non_expert,hi,"Mental, Emotional & Social Well-being",48,0.4486
gemini_3_pro,non_expert,hi,"Nutrition, Diet & Supplementation",120,0.6153
gemini_3_pro,non_expert,hi,Reproductive & Sexual Health (Beyond Pregnancy),45,0.3467
gemini_3_pro,non_expert,hi,Risk & Complication Management,60,0.1072
gemini_3_pro,non_expert,hi,Symptom Interpretation & Danger Sign Recognition,60,0.5556
gemini_3_pro,non_expert,mr,Antenatal & Maternal Health Care,120,0.2775
gemini_3_pro,non_expert,mr,Clinical Procedures & Guidelines,30,0.1617
gemini_3_pro,non_expert,mr,"Health Systems, Access & Provider Support",60,0.3486
gemini_3_pro,non_expert,mr,Infection Prevention & Hygiene Practices,120,0.3903
gemini_3_pro,non_expert,mr,Medication & Vaccination Safety,30,0.2933
gemini_3_pro,non_expert,mr,"Mental, Emotional & Social Well-being",48,0.4483
gemini_3_pro,non_expert,mr,"Nutrition, Diet & Supplementation",120,0.63
gemini_3_pro,non_expert,mr,Reproductive & Sexual Health (Beyond Pregnancy),45,0.3796
gemini_3_pro,non_expert,mr,Risk & Complication Management,60,0.0633
gemini_3_pro,non_expert,mr,Symptom Interpretation & Danger Sign Recognition,60,0.5322
gemma_3_27b,expert,en,Antenatal & Maternal Health Care,327,0.2594
gemma_3_27b,expert,en,Clinical Procedures & Guidelines,12,0.2069
gemma_3_27b,expert,en,Infection Prevention & Hygiene Practices,6,0.5167
gemma_3_27b,expert,en,Medication & Vaccination Safety,15,0.3178
gemma_3_27b,expert,en,Reproductive & Sexual Health (Beyond Pregnancy),6,0.2167
gemma_3_27b,expert,en,Risk & Complication Management,6,0.3028
gemma_3_27b,expert,en,Symptom Interpretation & Danger Sign Recognition,6,0.3667
gemma_3_27b,expert,hi,Antenatal & Maternal Health Care,327,0.295
gemma_3_27b,expert,hi,Clinical Procedures & Guidelines,12,0.1153
gemma_3_27b,expert,hi,Infection Prevention & Hygiene Practices,6,0.4944
gemma_3_27b,expert,hi,Medication & Vaccination Safety,15,0.3256
gemma_3_27b,expert,hi,Reproductive & Sexual Health (Beyond Pregnancy),6,0.2417
gemma_3_27b,expert,hi,Risk & Complication Management,6,0.0611
gemma_3_27b,expert,hi,Symptom Interpretation & Danger Sign Recognition,6,0.5111
gemma_3_27b,expert,mr,Antenatal & Maternal Health Care,327,0.2907
gemma_3_27b,expert,mr,Clinical Procedures & Guidelines,12,0.1278
gemma_3_27b,expert,mr,Infection Prevention & Hygiene Practices,6,0.5111
gemma_3_27b,expert,mr,Medication & Vaccination Safety,15,0.1967
gemma_3_27b,expert,mr,Reproductive & Sexual Health (Beyond Pregnancy),6,0.2056
gemma_3_27b,expert,mr,Risk & Complication Management,6,0.0
gemma_3_27b,expert,mr,Symptom Interpretation & Danger Sign Recognition,6,0.4194
gemma_3_27b,non_expert,en,Antenatal & Maternal Health Care,120,0.2858
gemma_3_27b,non_expert,en,Clinical Procedures & Guidelines,30,0.2183
gemma_3_27b,non_expert,en,"Health Systems, Access & Provider Support",60,0.3919
gemma_3_27b,non_expert,en,Infection Prevention & Hygiene Practices,120,0.3489
gemma_3_27b,non_expert,en,Medication & Vaccination Safety,30,0.3939
gemma_3_27b,non_expert,en,"Mental, Emotional & Social Well-being",48,0.4882
gemma_3_27b,non_expert,en,"Nutrition, Diet & Supplementation",120,0.6211
gemma_3_27b,non_expert,en,Reproductive & Sexual Health (Beyond Pregnancy),45,0.3933
gemma_3_27b,non_expert,en,Risk & Complication Management,60,0.1806
gemma_3_27b,non_expert,en,Symptom Interpretation & Danger Sign Recognition,60,0.4864
gemma_3_27b,non_expert,hi,Antenatal & Maternal Health Care,120,0.2919
gemma_3_27b,non_expert,hi,Clinical Procedures & Guidelines,30,0.2422
